0343 0000021C
0483 CE09549B
0484 F586955F
0485 C52743DA
0486 FA682A57
0487 26F0D018
0488 3F360DA7
0489 442E84C6
048A 49DD89B2
048B 9A414FA2
048C D0EAEE73
048D C6E1DAC4
048E FE24B01C
048F 2EFA41EB
0490 5EF036F5
0491 004D43F0
0492 BC2BEBE1
0493 4D415023
0494 C8ADB9C2
0495 B026C6FD
0496 03F143FA
0497 49ADF380
0498 034B58CF
0499 ED58791F
049A F2D3E988
049B C8671658
049C 3631F832
049D FEA4B7C7
049E 800C786B
049F 68D18F53
04A0 F8C6CB6C
04A1 ABB95A3D
04A2 962D9344
04A3 44794C14
04A4 FD823ECC
04A5 EB098888
04A6 3EA5F93B
04A7 42B16C43
04A8 27134B90
04A9 FA8665D6
04AA 7A2168C7
04AB 702B939B
04AC 9AFA616A
04AD C0AFC597
04AE 6369E642
04AF 363A4CA4
04B0 925C8720
04B1 C917170F
04B2 6A807D1B
04B3 361B2C71
04B4 85F90B9C
04B5 0B053B47
04B6 BCE5C858
04B7 A974F802
04B8 DB4D244F
04B9 4D8ADD19
04BA ECF46FF7
04BB 7D9530BD
04BC 827CD377
04BD F3E44C5C
04BE 358CE61B
04BF 8D3E2EA9
04C0 39CD63FF
04C1 FC7622EC
04C2 39C5FA63
04C3 D2AD1D6E
04C4 6BF0DFEC
04C5 51EBC60A
04C6 5B1B1A6C
04C7 6B77D591
04C8 C93BE977
04C9 6856E0D0
04CA 233400AA
04CB 39630331
04CC A8DB49E3
04CD 9720F70F
04CE 1421CF4A
04CF 6F9D78F9
04D0 8C01DEB8
04D1 4AD8CEC1
04D2 957618E9
04D3 F4BA8E70
04D4 C80B9724
04D5 8CACC219
04D6 B28FDB13
04D7 63554969
04D8 71A4BDE7
04D9 AAF0205F
04DA 6804C26E
04DB 794B62A4
04DC E82F5F78
04DD 0EDFA72F
04DE 7DE6545C
04DF 612F1E90
04E0 BDDA15C0
04E1 EDDAD5EA
04E2 1383FCDB
04E3 A0580015
04E4 0BC04C76
04E5 EE4689F8
04E6 038A7BE5
04E7 8633F026
04E8 A49906F3
04E9 BE0CCE45
04EA E47B3F0D
04EB D7ABD301
04EC B7731549
04ED A5EA4647
04EE E190EC0E
04EF FF627801
04F0 F31021A7
04F1 6BEFCF40
04F2 99F62843
04F3 2C033B57
04F4 A034366F
04F5 435CA066
04F6 0A6B636C
04F7 966C2E47
04F8 4E7B4CB0
04F9 02521127
04FA 3AE106AA
04FB D387E106
04FC 1938E9F3
04FD 0ACEBC08
04FE 9E020BF7
04FF 1D79F476
0500 B62AC3E8
0501 0ADA7F95
0502 EBD4AFEC
0503 9092A05E
0504 A045E59D
0505 B04C11C2
0506 1951DE3C
0507 B1327B20
0508 C40614D4
0509 5156ED04
050A 8CCF00CB
050B 9DA5AC0E
050C EFC13CC8
050D C8949C3C
050E C872E0E9
050F BB5EE93E
0510 9C212912
0511 7A0F93CE
0512 BD558113
0513 F6E0A439
0514 98B4D7C7
0515 6E53973F
0516 0BBF7EBA
0517 528A34BD
0518 2B845A34
0519 00047A66
051A 33331A57
051B 3588CC3B
051C DABEAD0D
051D 341E406D
051E A824CEFD
051F 88F6633F
0520 5236FAE6
0521 356C0B1A
0522 0E6AE3E2
0523 573B2087
0524 9D512218
0525 67108AFD
0526 09AB28F9
0527 02FE8655
0528 7D4B1CCE
0529 CBA32F88
052A 3E7D221C
052B BC24B55B
052C FC59D6C6
052D 98271ABC
052E 9A52829A
052F 621FD2B6
0530 6D4AE36B
0531 3525DE31
0532 026CB724
0533 F9DA6AE8
0534 4C605C7A
0535 C5606B5D
0536 82778777
0537 3F9CA38E
0538 236CC4CE
0539 8D5E35D7
053A ECCBFF63
053B 9BE98221
053C 43D76DA0
053D A6CDD316
053E 47E4A76C
053F 53011F21
0540 E0CCD84A
0541 2F9ACD8B
0542 834AD276
0543 8FB810E0
0544 4D0F657A
0545 3C57AC4D
0546 C1432E0F
0547 63058EF7
0548 9F4C0FA4
0549 B94E09DC
054A 43B29461
054B 790ED776
054C 623C6BDC
054D 0ED3CB61
054E 807C75D7
054F 13632FF6
0550 ABB5DADB
0551 30FC54B7
0552 101E3174
0553 E1039DDD
0554 1576B8E3
0555 4190C5BF
0556 B187521A
0557 BFA1AA14
0558 747917D6
0559 9A7A4E15
055A CF8EF607
055B E58C846A
055C 3B37DE68
055D 01C385C5
055E C6888FB0
055F 9F92F5B5
0560 BC60F57B
0561 A9339AFA
0562 D2043366
0563 804A7AF0
0564 0A501289
0565 37F4F0C5
0566 BC3EF1B1
0567 1B6673C1
0568 6503EB75
0569 D6B7FBAD
056A 4F69EB0B
056B 2BD9C0A9
056C 37961201
056D 625A905E
056E 31177EC5
056F B2530626
0570 283E064E
0571 D3998C24
0572 84674F21
0573 B459B98A
0574 EECDA157
0575 95DC5D7A
0576 63C6C55F
0577 D74D5C6E
0578 74EFA1EB
0579 06735E4E
057A 7E8F2913
057B 0CBD6B85
057C D6D741D3
057D 395574DB
057E 043E12A1
057F 7E423926
0580 EC095ADC
0581 489648B8
0582 CB63E7DF
0583 3AEDF26A
0584 6B74F601
0585 81F2B179
0586 3ADF739E
0587 783652D3
0588 A0483DB7
0589 2ECF775F
058A 8316E0B1
058B A54023E8
058C 2529F603
058D 47003AFE
058E 10DEA9E9
058F 78037FC0
0590 DC299129
0591 8500CFD8
0592 A30A4444
0593 8C970D76
0594 4735C831
0595 52D778AE
0596 43FCE601
0597 429E109E
0598 668BF2A1
0599 F23C7FAB
059A 84502AE6
059B 686766EB
059C 3888B3CA
059D D59A8BBF
059E 2F99DC8E
059F F7B1BE0C
05A0 9B1D8377
05A1 44E1E6B9
05A2 754AA5F7
05A3 7AD231DE
05A4 6736AF3F
05A5 BC1B9839
05A6 FED0384D
05A7 2095354E
05A8 4453B4E9
05A9 423E30E8
05AA 677BBAE7
05AB 214EEBE2
05AC BEBD42E6
05AD 30E7A9E7
05AE A4AFB2AD
05AF C5100C56
05B0 3E43B5DA
05B1 660136D3
05B2 5792963A
05B3 EF4CE373
05B4 584F0648
05B5 D7D8F0BF
05B6 8A18E80C
05B7 0BBEBEE1
05B8 07DCEDA9
05B9 681AB5E5
05BA 143A0068
05BB F9CE0633
05BC A9EFDD1D
05BD F9180B99
05BE 89CF11BA
05BF 298BA14A
05C0 DAA4289A
05C1 B6122806
05C2 B29B719A
05C3 1D31F4A7
05C4 C34576D8
05C5 C8EB39FE
05C6 74AA796A
05C7 AD9B2EA3
05C8 74613726
05C9 DE366398
05CA 7D4C75A6
05CB 3870033B
05CC 99F4C19B
05CD C8EB828A
05CE 01EC1C09
05CF 186B2798
05D0 95A82B3D
05D1 C882EFCB
05D2 32AC883B
05D3 4D398EFA
05D4 40C4CF6D
05D5 C0CF8A2F
05D6 63EBED50
05D7 64208FF7
05D8 1C0920D3
05D9 198CEF11
05DA 09E714CB
05DB 6F44B3D2
05DC CB002EFB
05DD C5EA1907
05DE FFF42C0F
05DF B1827C6B
05E0 CB44D303
05E1 DFAE3642
05E2 E28E159D
05E3 1D138994
05E4 E86C6A60
05E5 E2D3ABD7
05E6 68266821
05E7 3D52DFDB
05E8 E353F06C
05E9 B76100D1
05EA 2AADC248
05EB 45D9DDBD
05EC 81B6F4D9
05ED 84AAE86D
05EE 87F29352
05EF 00116138
05F0 A7A6DD2F
05F1 852B6BB2
05F2 3379FAA6
05F3 057B8C61
05F4 5B05F0A0
05F5 CAACB9C2
05F6 7C0AC355
05F7 F371088A
05F8 EB8AA622
05F9 B9C316FF
05FA B39D74B3
05FB 73D513A3
05FC EF0B23A9
05FD AFBD0E3D
05FE AF7C872A
05FF 761D163A
0600 7551C151
0601 6A06A880
0602 63CE2355
0603 C126F09C
0604 81459DFF
0605 72276969
0606 ECEA4D8A
0607 F9BBEBD2
0608 70039FE7
0609 F728ECEE
060A 50A11A1E
060B A31FB253
060C FF1CAB6F
060D FA7B83BD
060E 6CE438C5
060F 442D5765
0610 81F3E1CA
0611 32B15FF7
0612 CAD789F2
0613 AD4592CE
0614 540ADD36
0615 2D5BB6E4
0616 A6D5B2EB
0617 B0EE5233
0618 97631EF7
0619 A975C1BC
061A E0B76CE8
061B 50AF8F41
061C ACEF7CE0
061D 65C24ADF
061E 41562A33
061F 79956ABD
0620 73AF8E84
0621 CD08BD3D
0622 AE729893
0623 72329686
0624 69499C43
0625 D837C150
0626 F27712C1
0627 996CBC68
0628 6A964BD9
0629 1E2D201C
062A 5A78EB1F
062B EBF806C0
062C 9F0836A6
062D EFF0C692
062E 335F4B79
062F 3030DEDF
0630 E22502A6
0631 3D7395AE
0632 C224749C
0633 E4529770
0634 920C30E1
0635 D4DBAA1E
0636 14CA2E49
0637 2EF08E6A
0638 C219A48A
0639 1EBC6723
063A 096A4000
063B 50DFED2A
063C DB5BE4A0
063D C605D027
063E 8D924B0D
063F 845CACAC
0640 3B547CBC
0641 423F573D
0642 4D194B16
0643 0FBC99AE
0644 90F4A393
0645 427BCCBE
0646 214BE3D0
0647 19C4D72C
0648 79B7586C
0649 A929387D
064A 3051F1BF
064B 2123EBC4
064C AD80EBDA
064D 251BFF9C
064E 54772EBE
064F 2961AD10
0650 6B860912
0651 5C636F35
0652 8C928B12
0653 C5FC3D89
0654 09A6EF81
0655 FD5B6A99
0656 6C49FDB1
0657 789E6E32
0658 8FDB5404
0659 2646ED45
065A 1681DA4E
065B 2017535F
065C 37F5B27B
065D 98ECD510
065E 530F2892
065F F622CA89
0660 8A00B7F4
0661 32C587C0
0662 26BEC446
0663 010A03FF
0664 FF16F372
0665 94E59428
0666 4AD67920
0667 6B6B36BC
0668 D2B5FF31
0669 F553C25C
066A 7E1089FC
066B C396A123
066C 80E03F84
066D 9ABE1BCD
066E 0D394B4F
066F 6BB0D333
0670 EF6E21FF
0671 EAC65B2C
0672 8ED0C2CB
0673 DD804E73
0674 FE768C67
0675 F9C5D395
0676 4E5DD1E8
0677 916A5187
0678 C12F59C3
0679 D9C9B666
067A 4078AABB
067B 3025A617
067C C7639F26
067D 33F99AB0
067E B780EBC3
067F 277554EF
0680 38F22BBB
0681 BA02FC32
0682 7F3B2291
0683 AFBD6470
0684 17D04D06
0685 5B58A99C
0686 53C3DDA7
0687 3AE8B5D4
0688 8BAE0E2F
0689 FFBE38CF
068A BE03E122
068B 2AE6C101
068C 4C832258
068D F9B56E32
068E C9C1D810
068F 19513F34
0690 240C47FE
0691 263A8BFF
0692 9E469A02
0693 BC60E258
0694 6C071837
0695 6888A8DD
0696 98EF7491
0697 BFCE0054
0698 8F530BB5
0699 6229E899
069A 06FA8BD3
069B 2AA61D51
069C 627602F3
069D 2DF228B7
069E B917E7E5
069F B0CE9EC0
06A0 10E767A1
06A1 1531DCFE
06A2 A0F3F384
06A3 2659C9DC
06A4 FCD2BB1B
06A5 E491334F
06A6 38DE86B3
06A7 B16CE96C
06A8 5E30BD2B
06A9 C30B3E20
06AA 8D85BB79
06AB 4265AB80
06AC 6A307C40
06AD AB49C10E
06AE 381F7885
06AF 61A4D767
06B0 0FD97907
06B1 6684AA64
06B2 71F167CD
06B3 93BDB21F
06B4 AE8392CD
06B5 096E2B0C
06B6 2C2ADF3B
06B7 7359ADDC
06B8 1B2B0624
06B9 F038A037
06BA D18FDC29
06BB 01CFF35F
06BC 201EE0D6
06BD 0C6A92AA
06BE B3C1D378
06BF 0E6DE137
06C0 F44C02D9
06C1 88EA6EA6
06C2 921F449B
06C3 81E40397
06C4 F6A4C52C
06C5 030066D6
06C6 362E01A8
06C7 59DE9811
06C8 E50E136D
06C9 067ECD92
06CA A46CF4B3
06CB 2A8FCEE3
06CC 4A149F12
06CD 9BBA042F
06CE 61B5F362
06CF F41B8824
06D0 3825C5AC
06D1 6F83EEE0
06D2 8E5A7FC3
06D3 ED9FB82D
06D4 DA21BC73
06D5 5D72B36E
06D6 66DD66D2
06D7 958FDD01
06D8 63CD8A4D
06D9 2B6A2953
06DA 853BB0CF
06DB 3968BC37
06DC 2B91D880
06DD E417F038
06DE FE80D27A
06DF 7281DCBD
06E0 7FAADF78
06E1 16CBA9DB
06E2 27354C15
06E3 4771E880
06E4 28D3897C
06E5 1B842E61
06E6 6C83B9FC
06E7 4BEA1D69
06E8 7E2CB6D7
06E9 1B6CC16D
06EA 74A4940A
06EB 59F7FF24
06EC B1668120
06ED D2049188
06EE 820F9FC6
06EF E86B465E
06F0 BF470B3C
06F1 6B8A4601
06F2 214565F1
06F3 66AEC747
06F4 60C5B9FF
06F5 9D057AEE
06F6 64FD90BB
06F7 D306E1A3
06F8 78602533
06F9 E186B1D6
06FA ADC5D003
06FB 7773D2F3
06FC 51A108B0
06FD 3439CD1B
06FE 9BE75C58
06FF 415A3C0D
0700 88B439C8
0701 093D2567
0702 F2E23235
0703 98854C39
0704 7113245F
0705 786D33AE
0706 824846FF
0707 930D551C
0708 6A866365
0709 07EEF8D9
070A 236DB3FB
070B 65495329
070C 2D3D340E
070D 2E50D1A3
070E 526187B2
070F 79696042
0710 CF4064F3
0711 D0653D81
0712 A583DA52
0713 D7CCF882
0714 FD0AF43C
0715 B1BB0F51
0716 E2806375
0717 000C8927
0718 69DD8029
0719 895B3B50
071A 204A2DD7
071B B722357C
071C F338DABE
071D E9652672
071E 4C137364
071F 3F96A57E
0720 4B09EEE2
0721 011CB31B
0722 B80608EA
0723 A94AEEF2
0724 448114AE
0725 1B62E5BC
0726 4BBCDC9A
0727 0154DF08
0728 9B2DE8E6
0729 A45F3430
072A E386C412
072B 2FFD5D31
072C 3D030DE9
072D 75B5706D
072E 71D51745
072F 30E17F45
0730 119F205F
0731 7E17AD8E
0732 EDDB272A
0733 4037ECCB
0734 B85F3E0D
0735 D97CC850
0736 D7139FAF
0737 E100FA23
0738 A8D3DE5B
0739 EE7FAFC2
073A 48D5242E
073B 6EBAE904
073C 18AB2F08
073D 63F94942
073E 0C204E9D
073F CE89914F
0740 DFE57B05
0741 312862FF
0742 722EAEC6
0743 1862B9CA
0744 23DD5ADE
0745 33F6B74F
0746 CE26D4C9
0747 1655EAC7
0748 9F666879
0749 05424E35
074A EA29C5F2
074B EB5208F0
074C 732732DB
074D A5AC3A1A
074E A8B0B015
074F F4594E32
0750 FE9255A4
0751 81FAE4F8
0752 0EE9D9C7
0753 7ECB5349
0754 753E6AA7
0755 5830A85D
0756 0BCFA889
0757 6EE82AD8
0758 171A4F3A
0759 FD23DB52
075A 60CB3782
075B 932ED964
075C A98F88EC
075D 1082732C
075E 68A60F22
075F AFB0FDD0
0760 4A63D6C3
0761 60E70F93
0762 A3EBAED0
0763 AE2E5644
0764 F7F20621
0765 196C89E6
0766 06102359
0767 9F2CB961
0768 BDBEE0CB
0769 110570FE
076A 7274AEB2
076B EDC6C5E6
076C 5E3BABEA
076D 6F20379A
076E 965A6A74
076F BE00C5C6
0770 00000CBD
0771 1B596F96
0772 D6AA91B7
0773 D6FC2F77
0774 2403A90A
0775 5DC70282
0776 D6F2AC3A
0777 E44F59BC
0778 0827556B
0779 1F1BC711
077A 4D25B89B
077B EDD5B4FC
077C FCEB582A
077D 133F79F6
077E 5B3A1CD1
077F 8B90E357
0780 1923B153
0781 49AD5145
0782 A882A720
0783 BC03C2DA
0784 87E60316
0785 772F0DC4
0786 D8471492
0787 21A36E7A
0788 F899E473
0789 FA354716
078A 27AAA039
078B 97EDFEB5
078C 51FD2BC3
078D B4F118D2
078E F93B7BF3
078F 6A119D12
0790 A8A154CA
0791 C7738EE8
0792 AB3EDEB9
0793 8810E67F
0794 EE043536
0795 6B81DFB5
0796 1D5D4199
0797 A1C8F964
0798 8457A4FC
0799 BE81DCB0
079A 78A6FA38
079B 4AEBFF42
079C 7152597A
079D E1A518AF
079E FCB172A6
079F 5171CC13
07A0 3AE79694
07A1 DD567B61
07A2 C0A3B57E
07A3 1417F2C4
07A4 66E4F9F1
07A5 93597884
07A6 D728A2E4
07A7 DABB0030
07A8 56824388
07A9 E24D904E
07AA DD3918CD
07AB 214470A6
07AC BDF80678
07AD 13C689F1
07AE 037E3CC6
07AF 454BFA3E
07B0 4DECC830
07B1 9FE92875
07B2 30BBC8B1
07B3 7599CF28
07B4 C337817A
07B5 33B5F2BD
07B6 33075670
07B7 212661A8
07B8 54431635
07B9 6D6132AE
07BA 65764238
07BB CC20F2F7
07BC B7886292
07BD 575AAA74
07BE 69798655
07BF E4757863
07C0 44BE8D35
07C1 91E57AE3
07C2 1464662C
07C3 AA59D3F1
07C4 60B806D8
07C5 B23121AD
07C6 3F728279
07C7 21D0605F
07C8 C3D4D1D9
07C9 E7765B64
07CA 8043EDE1
07CB 6588FACA
07CC 5FAFB8CB
07CD 2724A67C
07CE 01BBB72C
07CF E4C96919
07D0 F7EC521A
07D1 BEC97BB5
07D2 58EACE9E
07D3 3C07DD3D
07D4 2CA0BD6C
07D5 8237DFC8
07D6 F2D1ABA9
07D7 E26C88B6
07D8 D3D40442
07D9 8CDC73FF
07DA 03B558BE
07DB 98847E58
07DC 0ED9EFDB
07DD B8AD5F20
07DE A20A0B9B
07DF 64EACF08
07E0 167C4A24
07E1 F4181D83
07E2 991B7E4F
07E3 65A1F2D0
07E4 2E61CAB9
07E5 AF38A47C
07E6 5CB58CB6
07E7 04C56105
07E8 0FA85471
07E9 94E44159
07EA 31A6E9D8
07EB 86B52E7C
07EC 5D0D19CA
07ED 271AD1A4
07EE 0665A9CC
07EF 2CD56E60
07F0 62A3BD94
07F1 46421354
07F2 A4362453
07F3 1894DFEB
07F4 0B8B37FB
07F5 D0B590EA
07F6 F98A6D33
07F7 420777ED
07F8 F3D489AE
07F9 6AEBD081
07FA 80EA0E78
07FB 7431E82A
07FC F1A4354D
07FD BDD43EEA
07FE 98FBD690
07FF 0F5A7A23
0800 BEB0643A
0801 8269C337
0802 4A53926E
0803 2FA8EBCB
0804 D47E70AD
0805 2B943FB3
0806 4CF37380
0807 AEA77CF3
0808 8706ACB7
0809 C70E98E6
080A 77EE3B6A
080B C89F9AEB
080C 2CB86932
080D 10D5148A
080E C4CDEF97
080F AD3537B0
0810 B0642296
0811 61EE7279
0812 4D6DF852
0813 768E1CA7
0814 75611E40
0815 9917E8E2
0816 D4BE66A2
0817 89298394
0818 D1BA74AF
0819 930133DA
081A 18D1EDF7
081B 78600335
081C 47E1E94D
081D 16486C25
081E A5C30B99
081F 8661307B
0820 5BE7C1A3
0821 8A3F7F3B
0822 79C47300
0823 B75292B1
0824 D72060A4
0825 87628AE2
0826 77990F4C
0827 5B9F752C
0828 FA9C9538
0829 9AB16BE5
082A 7D943CE6
082B 6E36792B
082C A461F22F
082D AF2A9FC2
082E 5D0FDAB4
082F 54E0AAF7
0830 95CD1D70
0831 8C43EDBD
0832 49DE4BAE
0833 A8DB3D12
0834 FB4B6575
0835 24B5896D
0836 378518FE
0837 B66120EE
0838 E124CF7D
0839 09E25122
083A 0A723347
083B B5C18D5B
083C 6B1073BD
083D 6A52540B
083E 261CB791
083F CFD252B2
0840 03720A93
0841 A205177E
0842 ADB7C24A
0843 43B5B894
0844 000BC5CE
0845 76B03467
0846 18534D30
0847 D000109A
0848 C96C3B00
0849 4777CED5
084A 9644FC90
084B C424919E
084C 4E8FA0C5
084D C31F8F06
084E 8B458C0C
084F CF6A757C
0850 955E8A3D
0851 909DC5D9
0852 66B0420F
0853 89A6C08C
0854 5C9B2A2F
0855 9F396B0D
0856 7615B8FA
0857 06E5C671
0858 22CED2E7
0859 8F1B88C2
085A AE3C268E
085B ACBD5EFD
085C 9C8C388A
085D 0DBB82E1
085E 4BE1F22E
085F 76BB5CCE
0860 4D57AE55
0861 562B93B9
0862 7885BC6D
0863 EE3827DE
0864 6D4C148B
0865 2D398619
0866 B4F2FD49
0867 B366BDCF
0868 EA110A25
0869 0DD32544
086A 51CE37DA
086B BFC25EC2
086C 5179FF8B
086D 103B7CC4
086E A46ACFFC
086F 6DCC5585
0870 4C93BF87
0871 D9A7ABDD
0872 6B1CD7B7
0873 C129A156
0874 41C36B25
0875 25D6C38C
0876 E9688D3A
0877 BC72E0BA
0878 04D5FF3B
0879 583CA085
087A B4B7F2E5
087B 680F1A88
087C AC7F2DC3
087D EC23C5A7
087E 7C4011AB
087F 45825DD3
0880 402AF29A
0881 2DA65F48
0882 8FC493D0
0883 34EE597D
0884 2F009EFE
0885 D1611CB9
0886 C5B090EA
0887 8765B526
0888 BC1B60CA
0889 074A59D7
088A F8DC1CA4
088B 7F153169
088C 7AF5D82C
088D A6897BB7
088E B064DD94
088F 585B2AFD
0890 7A8E8E71
0891 2C67C4F4
0892 A32F16AF
0893 CC343BAE
0894 C2D607C6
0895 48B7DDCD
0896 023448F6
0897 A1E9F096
0898 B7825190
0899 47E15F3C
089A DA5D0996
089B 9B6933C9
089C 11D6F65E
089D E8E0ADBB
089E C735677F
089F 0188ADBB
08A0 F66B1964
08A1 7734E7FD
08A2 AD0B2B45
08A3 E8F92EA0
08A4 CFF61A3D
08A5 E3E615E6
08A6 BB25D30B
08A7 8589E390
08A8 4F1D8006
08A9 19CEC234
08AA B03F52BF
08AB AF6D3ACE
08AC CD96A9BE
08AD 117976C5
08AE 3BD104AC
08AF CCB42AD3
08B0 D6DD8E36
08B1 E00B340B
08B2 4A0A01C8
08B3 830E5DF8
08B4 DB6A8447
08B5 4F9D177D
08B6 F21244C1
08B7 0EDE7169
08B8 5770114C
08B9 BBEDAA5D
08BA 4B061060
08BB 64C6EC39
08BC 11373C85
08BD EA6F4AA7
08BE 6EC4CA2E
08BF A7CD2E43
08C0 FE023082
